product_id,product_name,date,review
9,SummitClimber Backpack,2023-09-08,"Perfect for long hikes. The reflective accents are useful, but the shoulder straps could use more padding."  
10,TrailBlaze Hiking Pants,2023-07-25,"The TrailBlaze Hiking Pants are lightweight and comfortable. The water resistance is good, but the pockets are too small."  
10,TrailBlaze Hiking Pants,2023-08-05,"Great for hiking. The articulated knees provide good flexibility, but the fabric feels a bit thin."  
10,TrailBlaze Hiking Pants,2023-09-18,"Stylish and functional. The fast-drying feature is nice, but the waist could be more adjustable."  
11,TrailWalker Hiking Shoes,2023-07-18,"The TrailWalker Hiking Shoes are comfortable and provide good traction. However, they aren't fully waterproof."  
11,TrailWalker Hiking Shoes,2023-08-10,"Durable and lightweight. The quick-lace system is convenient, but the shoes run a bit small."  
11,TrailWalker Hiking Shoes,2023-09-05,"Great for long hikes. The cushioning is good, but the toe cap could be stronger."  
12,TrekMaster Camping Chair,2023-07-12,"The TrekMaster Camping Chair is comfortable and sturdy. The cup holder is useful, but the chair is a bit heavy."  
12,TrekMaster Camping Chair,2023-08-05,"Easy to set up and portable. The padded seat is nice, but the backrest could be taller."  
12,TrekMaster Camping Chair,2023-09-15,"Great for outdoor events. The side pockets are handy, but the chair takes up a lot of space when folded."  
13,PowerBurner Camping Stove,2023-07-22,"The PowerBurner Camping Stove is powerful and easy to use. The wind resistance could be better, though."  
13,PowerBurner Camping Stove,2023-08-12,"Great for cooking outdoors. The adjustable flame control is nice, but the stove is a bit bulky."  
13,PowerBurner Camping Stove,2023-09-10,"Durable and efficient. The piezo ignition system is reliable, but the removable grates are hard to clean."  
14,MountainDream Sleeping Bag,2023-07-27,"The MountainDream Sleeping Bag is warm and comfortable. The compression sack is useful, but the bag is a bit heavy."  
14,MountainDream Sleeping Bag,2023-08-18,"Great for cold weather camping. The adjustable hood is nice, but the zipper snags occasionally."  
14,MountainDream Sleeping Bag,2023-09-12,"Durable and well-insulated. The interior pocket is handy, but the bag could be more spacious."  
15,SkyView 2-Person Tent,2023-07-15,"The SkyView 2-Person Tent is easy to set up and waterproof. The interior pockets are useful, but the tent feels cramped."  
15,SkyView 2-Person Tent,2023-08-08,"Great for camping trips. The mesh panels provide good ventilation, but the tent is a bit heavy."  
15,SkyView 2-Person Tent,2023-09-20,"Durable and well-designed. The rainfly is effective, but the carrying bag is too small."  
16,TrailLite Daypack,2023-07-10,"The TrailLite Daypack is lightweight and comfortable. The hydration system is a plus, but the zippers could be more durable."  
16,TrailLite Daypack,2023-08-02,"Great for day hikes. The padded back panel is nice, but the pockets are too small."  
16,TrailLite Daypack,2023-09-05,"Durable and spacious. The reflective accents are useful, but the shoulder straps could use more padding."  
17,RainGuard Hiking Jacket,2023-07-20,"The RainGuard Hiking Jacket is waterproof and breathable. The adjustable hood is useful, but the jacket feels a bit heavy."  
17,RainGuard Hiking Jacket,2023-08-15,"Great for rainy hikes. The ventilation zippers are nice, but the pockets are too small."  
17,RainGuard Hiking Jacket,2023-09-10,"Durable and comfortable. The reflective details are useful, but the cuffs could be more adjustable."  
18,TrekStar Hiking Sandals,2023-07-25,"The TrekStar Hiking Sandals are comfortable and provide good traction. The straps could be more adjustable, though."  
18,TrekStar Hiking Sandals,2023-08-05,"Great for summer hikes. The breathable design is nice, but the sandals feel a bit flimsy."  
18,TrekStar Hiking Sandals,2023-09-18,"Durable and lightweight. The cushioned footbed is comfortable, but the toe protection could be better."  
19,Adventure Dining Table,2023-07-22,"The Adventure Dining Table is sturdy and easy to set up. The adjustable height is useful, but the table is a bit heavy."  
19,Adventure Dining Table,2023-08-12,"Great for outdoor meals. The weather resistance is good, but the table surface scratches easily."  
19,Adventure Dining Table,2023-09-10,"Durable and portable. The foldable design is convenient, but the table could be more stable."  
20,CompactCook Camping Stove,2023-07-27,"The CompactCook Camping Stove is lightweight and efficient. The wind resistance could be better, though."  
20,CompactCook Camping Stove,2023-08-18,"Great for camping trips. The adjustable flame control is nice, but the stove feels a bit flimsy."  
20,CompactCook Camping Stove,2023-09-12,"Durable and portable. The easy ignition technology is reliable, but the stove is hard to clean."  
